instance;approach;arc;arc_type;class;graph_density;link_capacity_ratio;charge_arc;prob_sharing_NFS
6;MILP;17;backhaul;tiny_tight_low_strong;0.1;tight;0.744716726618705;0.1
6;MILP;2;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
6;MILP;4;fronthaul;tiny_tight_low_strong;0.1;tight;0.4928523936170211;0.1
6;MILP;16;fronthaul;tiny_tight_low_strong;0.1;tight;0.8484887295081968;0.1
6;MILP;19;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
6;MILP;6;fronthaul;tiny_tight_low_strong;0.1;tight;0.7964471143025619;0.1
6;MILP;21;fronthaul;tiny_tight_low_strong;0.1;tight;0.2829806212407009;0.1
6;MILP;10;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
6;MILP;18;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
6;MILP;20;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
6;MILP;23;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
6;MILP;12;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
6;MILP;22;fronthaul;tiny_tight_low_strong;0.1;tight;0.00028662241188583864;0.1
6;MILP;24;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
6;Heuristic;1;backhaul;tiny_tight_low_strong;0.1;tight;0.7941964285714286;0.1
6;Heuristic;3;fronthaul;tiny_tight_low_strong;0.1;tight;0.7343129422647734;0.1
6;Heuristic;5;fronthaul;tiny_tight_low_strong;0.1;tight;0.17087675974919245;0.1
6;Heuristic;7;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
6;Heuristic;9;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
6;Heuristic;11;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
6;Heuristic;13;backhaul;tiny_tight_low_strong;0.1;tight;0.7871910646387833;0.1
6;Heuristic;8;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
6;Heuristic;14;backhaul;tiny_tight_low_strong;0.1;tight;0.7871910646387833;0.1
6;Heuristic;15;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
6;Heuristic;17;backhaul;tiny_tight_low_strong;0.1;tight;0.744716726618705;0.1
6;Heuristic;2;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
6;Heuristic;4;fronthaul;tiny_tight_low_strong;0.1;tight;0.6503983423219505;0.1
6;Heuristic;16;fronthaul;tiny_tight_low_strong;0.1;tight;0.8484887295081968;0.1
6;Heuristic;19;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
6;Heuristic;6;fronthaul;tiny_tight_low_strong;0.1;tight;0.7964471143025619;0.1
6;Heuristic;21;fronthaul;tiny_tight_low_strong;0.1;tight;0.2829806212407009;0.1
6;Heuristic;10;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
6;Heuristic;18;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
6;Heuristic;20;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
6;Heuristic;23;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
6;Heuristic;12;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
6;Heuristic;22;fronthaul;tiny_tight_low_strong;0.1;tight;0.00028662241188583864;0.1
6;Heuristic;24;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
7;MILP;1;fronthaul;tiny_tight_low_strong;0.1;tight;0.7075600436681223;0.1
7;MILP;3;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
7;MILP;5;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
